Name,Vac,Paco,Pdco,Vdco,Pso,C0,C1,C2,C3,Pnt,Vdcmax,Idcmax,Mppt_low,Mppt_high,Manufacturer,Model
ABB: PVI 5000 OUTD-US-Z-M-A (208 V) 208V [CEC 2014],208.0,5000.0,5212.507419,310.049881,30.43808998,-4.07e-06,-3.81e-06,1.79E-03,-0.000643,0.2,600.0,36.0,145.0,530.0,ABB,PVI 5000 OUTD-US-Z-M-A (208 V) 208V [CEC 2014]
ABB: PVI 5000 OUTD-US-Z-M-A (208V) 208V [CEC 2016],208.0,5000.0,5208.4,310.0,30.8597,-3.84084e-06,-3.23529e-06,0.00112991,-0.000327038,0.18,480.0,0.010416700000000001,100.0,480.0,ABB,PVI 5000 OUTD-US-Z-M-A (208V) 208V [CEC 2016]
ABB: PVI 5000 OUTD-US-Z-M-A (240 V) 240V [CEC 2014],240.0,5000.0,5193.131924,342.6663095,32.65574914,-3.57e-06,-1.2e-05,8.21E-04,-0.000664,0.2,600.0,36.0,145.0,530.0,ABB,PVI 5000 OUTD-US-Z-M-A (240 V) 240V [CEC 2014]
ABB: PVI 5000 OUTD-US-Z-M-A (240V) 240V [CEC 2016],240.0,5000.0,5190.29,345.0,32.0358,-3.5480800000000007e-06,-1.0459200000000001e-05,0.000444984,-0.000412078,0.24,480.0,0.010416700000000001,100.0,480.0,ABB,PVI 5000 OUTD-US-Z-M-A (240V) 240V [CEC 2016]
ABB: PVI 5000 OUTD-US-Z-M-A (277 V) 277V [CEC 2014],277.0,5000.0,5163.482641,400.54944439999997,38.12982719,-2.37e-06,-2.8600000000000004e-05,2.40E-04,-0.00205,0.3,600.0,36.0,145.0,530.0,ABB,PVI 5000 OUTD-US-Z-M-A (277 V) 277V [CEC 2014]
ABB: PVI 5000 OUTD-US-Z-M-A (277V) 277V [CEC 2016],277.0,5000.0,5162.44,400.0,38.2056,-2.69813e-06,-1.8213900000000002e-05,0.000152641,-0.000797038,0.32,480.0,0.010416700000000001,100.0,480.0,ABB,PVI 5000 OUTD-US-Z-M-A (277V) 277V [CEC 2016]
ABB: PVI 6000 OUTD-US-Z-M-A (208 V) 208V [CEC 2014],208.0,6000.0,6274.842941,310.1090873,29.90817262,-3.93e-06,-9.39e-06,1.71E-03,-0.000745,0.2,600.0,36.0,175.0,530.0,ABB,PVI 6000 OUTD-US-Z-M-A (208 V) 208V [CEC 2014]
ABB: PVI 6000 OUTD-US-Z-M-A (240 V) 240V [CEC 2014],240.0,6000.0,6244.762234000001,342.4914286,31.44338077,-3.27e-06,-1.83e-05,6.94E-04,-0.0011300000000000001,0.2,600.0,36.0,175.0,530.0,ABB,PVI 6000 OUTD-US-Z-M-A (240 V) 240V [CEC 2014]
ABB: PVI 6000 OUTD-US-Z-M-A (277 V) 277V [CEC 2014],277.0,6000.0,6201.523031000001,400.58210319999995,37.35754503,-2.17e-06,-3.54e-05,4.73E-05,-0.00259,0.3,600.0,36.0,175.0,530.0,ABB,PVI 6000 OUTD-US-Z-M-A (277 V) 277V [CEC 2014]
ABB: PVI-10.0-I-OUTD-x-US-208-y 208V [CEC 2011],208.0,10000.0,10502.07416,320.72785710000005,47.5335611,-2.88e-06,-3.78e-05,5.93E-04,-0.00213,0.1,900.0,34.0,300.0,750.0,ABB,PVI-10.0-I-OUTD-x-US-208-y 208V [CEC 2011]
